team_id,team,conference,mascot,city,state,color_primary,color_secondary
80,Western Michigan,MAC,Broncos,Kalamazoo,Michigan,#6C4023,#B5A167
81,Air Force,MWC,Falcons,Colorado Springs,Colorado,#003087,#8A8D8F
82,Boise State,MWC,Broncos,Boise,Idaho,#D64309,#0033A0
83,Fresno State,MWC,Bulldogs,Fresno,California,#DB0032,#002E6D
84,Colorado State,MWC,Rams,Fort Collins,Colorado,#1E4D2B,#C8C372
85,Nevada,MWC,Wolf Pack,Reno,Nevada,#003366,#807F84
86,UNLV,MWC,Rebels,Paradise,Nevada,#CF0A2C,#CAC8C8
87,New Mexico,MWC,Lobos,Albuquerque,New Mexico,#BA0C2F,#A7A8AA
88,San Diego State,MWC,Aztecs,San Diego,California,#A6192E,#000000
89,San Jose State,MWC,Spartans,San Jose,California,#0055A2,#E5A823
90,Utah State,MWC,Aggies,Logan,Utah,#0F2439,#9D968D
91,Wyoming,MWC,Cowboys,Laramie,Wyoming,#FFC425,#492F24
92,Arizona,Pac-12,Wildcats,Tucson,Arizona,#CC0033,#003366
93,Arizona State,Pac-12,Sun Devils,Tempe,Arizona,#8C1D40,#FFC627
94,California,Pac-12,Golden Bears,Berkeley,California,#003262,#FDB515
95,UCLA,Pac-12,Bruins,Los Angeles,California,#2D68C4,#F2A900
96,Colorado,Pac-12,Buffaloes,Boulder,Colorado,#CFB87C,#000000
97,Oregon,Pac-12,Ducks,Eugene,Oregon,#154733,#FEE123
98,Oregon State,Pac-12,Beavers,Corvallis,Oregon,#DC4405,#000000
99,USC,Pac-12,Trojans,Los Angeles,California,#990000,#FFC72C
100,Stanford,Pac-12,Cardinal,Stanford,California,#8C1515,#4D4F53
101,Utah,Pac-12,Utes,Salt Lake City,Utah,#CC0000,#808080
102,Washington,Pac-12,Huskies,Seattle,Washington,#4B2E83,#B7A57A
103,Washington State,Pac-12,Cougars,Pullman,Washington,#981E32,#5E6A71
104,Florida,SEC,Gators,Gainesville,Florida,#0021A5,#FA4616
105,Georgia,SEC,Bulldogs,Athens,Georgia,#BA0C2F,#000000
106,Kentucky,SEC,Wildcats,Lexington,Kentucky,#0033A0,#000000
107,Missouri,SEC,Tigers,Columbia,Missouri,#000000,#F1B82D
108,South Carolina,SEC,Gamecocks,Columbia,South Carolina,#73000A,#000000
109,Tennessee,SEC,Volunteers,Knoxville,Tennessee,#FF8200,#58595B
110,Vanderbilt,SEC,Commodores,Nashville,Tennessee,#000000,#866D4B
111,Alabama,SEC,Crimson Tide,Tuscaloosa,Alabama,#9E1B32,#828A8F
112,Arkansas,SEC,Razorbacks,Fayetteville,Arkansas,#9D2235,#FFFFFF
113,Auburn,SEC,Tigers,Auburn,Alabama,#0C2340,#E87722
114,LSU,SEC,Tigers,Baton Rouge,Louisiana,#461D7C,#FDD023
115,Ole Miss,SEC,Rebels,Oxford,Mississippi,#CE1126,#14213D
116,Mississippi State,SEC,Bulldogs,Starkville,Mississippi,#660000,#FFFFFF
117,Texas A&M,SEC,Aggies,College Station,Texas,#500000,#FFFFFF
118,App State,Sun Belt,Mountaineers,Boone,North Carolina,#222222,#FFCC00
119,Arkansas State,Sun Belt,Red Wolves,Jonesboro,Arkansas,#CC092F,#000000
120,Coastal Carolina,Sun Belt,Chanticleers,Conway,South Carolina,#006F71,#A27752
121,Georgia Southern,Sun Belt,Eagles,Statesboro,Georgia,#011E41,#A3AAAE
122,Georgia State,Sun Belt,Panthers,Atlanta,Georgia,#0039A6,#C60C30
123,Arkansas (Little Rock),Sun Belt,Trojans,Little Rock,Arkansas,#6E2639,#A7A9AC
124,Louisiana-Lafayette,Sun Belt,Ragin'' Cajuns,Lafayette,Louisiana,#CE181E,#0A0203
125,Louisiana-Monroe,Sun Belt,Warhawks,Monroe,Louisiana,#800029,#BD955A
126,South Alabama,Sun Belt,Jaguars,Mobile,Alabama,#00205B,#BF0D3E
127,Texas State,Sun Belt,Bobcats,San Marcos,Texas,#501214,#8D734A
128,UT Arlington,Sun Belt,Mavericks,Arlington,Texas,#F58025,#0064B1
129,Troy,Sun Belt,Trojans,Troy,Alabama,#8A2432,#B3B5B8
23,North Carolina,ACC,Tar Heels,Chapel Hill,North Carolina,#7BAFD4,#FFFFFF
